Frequency (Hz),Magnitude (dB),
21.972656,-0.093943,
24.902344,-0.071325,
27.832031,-0.062477,
30.761719,-0.050594,
35.156250,-0.039852,
39.550781,-0.031467,
43.945312,-0.026751,
49.804688,-0.020594,
55.664062,-0.017248,
62.988281,-0.013489,
70.312500,-0.011263,
79.101562,-0.008835,
87.890625,-0.007170,
99.609375,-0.005653,
111.328125,-0.004463,
124.511719,-0.003464,
140.625000,-0.002560,
158.203125,-0.001877,
177.246094,-0.001356,
197.753906,-0.000948,
222.656250,-0.000628,
250.488281,-0.000372,
281.250000,-0.000164,
314.941406,-0.000046,
353.027344,0.000000,
396.972656,-0.000048,
445.312500,-0.000174,
499.511719,-0.000353,
561.035156,-0.000456,
629.882812,-0.000568,
707.519531,-0.000700,
793.945312,-0.000763,
890.625000,-0.000767,
1122.070312,-0.000456,
1259.765625,-0.000364,
1413.574219,-0.000565,
1587.890625,-0.001280,
1781.250000,-0.002726,
1999.511719,-0.004700,
2244.140625,-0.006552,
2519.531250,-0.007942,
2828.613281,-0.009512,
3174.316406,-0.012684,
3563.964844,-0.017519,
3999.023438,-0.022264,
4489.746094,-0.027872,
5039.062500,-0.036308,
5657.226562,-0.045994,
6348.632812,-0.058308,
7126.464844,-0.073664,
7999.511719,-0.092625,
8979.492188,-0.116364,
10078.125000,-0.144695,
11312.988281,-0.178949,
12698.730469,-0.218891,
14252.929688,-0.262148,
15999.023438,-0.301346,
17958.984375,-0.320715,
20157.714844,-0.354864,
