Freq(Hz),SPL(dB),Phase(degrees)
21.189, 70.448, 6.330
22.449, 70.441, 6.310
23.784, 70.434, 6.255
25.198, 70.433, 6.168
26.697, 70.439, 6.084
28.284, 70.451, 6.031
29.966, 70.464, 6.015
31.748, 70.475, 6.020
33.636, 70.486, 6.031
35.636, 70.500, 6.052
37.755, 70.515, 6.089
40.000, 70.532, 6.146
42.379, 70.550, 6.217
44.898, 70.569, 6.300
47.568, 70.590, 6.396
50.397, 70.614, 6.504
53.394, 70.639, 6.622
56.569, 70.667, 6.750
59.932, 70.697, 6.887
63.496, 70.729, 7.032
67.272, 70.765, 7.182
71.272, 70.803, 7.336
75.510, 70.843, 7.492
80.000, 70.887, 7.649
84.757, 70.934, 7.803
89.797, 70.984, 7.953
95.137, 71.036, 8.098
100.794, 71.092, 8.233
106.787, 71.150, 8.358
113.137, 71.211, 8.471
119.865, 71.275, 8.568
126.992, 71.340, 8.648
134.543, 71.407, 8.709
142.544, 71.476, 8.749
151.020, 71.546, 8.768
160.000, 71.617, 8.765
169.514, 71.688, 8.738
179.594, 71.759, 8.687
190.273, 71.830, 8.613
201.587, 71.900, 8.515
213.574, 71.968, 8.396
226.274, 72.036, 8.254
239.729, 72.101, 8.093
253.984, 72.164, 7.913
269.087, 72.225, 7.716
285.088, 72.284, 7.504
302.040, 72.339, 7.279
320.000, 72.392, 7.043
339.028, 72.442, 6.798
359.188, 72.489, 6.546
380.546, 72.533, 6.289
403.175, 72.574, 6.029
427.149, 72.612, 5.767
452.548, 72.647, 5.506
479.458, 72.679, 5.246
507.968, 72.709, 4.989
538.174, 72.737, 4.736
570.175, 72.762, 4.489
604.080, 72.785, 4.249
640.000, 72.806, 4.016
678.056, 72.824, 3.793
718.376, 72.842, 3.578
761.093, 72.857, 3.375
806.349, 72.871, 3.183
854.297, 72.884, 3.003
905.097, 72.895, 2.838
958.917, 72.906, 2.688
1015.937, 72.915, 2.554
1076.347, 72.924, 2.438
1140.350, 72.932, 2.343
1208.159, 72.939, 2.269
1280.000, 72.946, 2.219
1356.113, 72.952, 2.196
1436.751, 72.958, 2.203
1522.185, 72.963, 2.243
1612.699, 72.968, 2.320
1708.595, 72.972, 2.438
1810.193, 72.975, 2.602
1917.833, 72.978, 2.818
2031.873, 72.980, 3.090
2152.695, 72.982, 3.424
2280.701, 72.983, 3.825
2416.318, 72.984, 4.298
2560.000, 72.984, 4.846
2712.226, 72.985, 5.470
2873.503, 72.986, 6.167
3044.370, 72.988, 6.933
3225.398, 72.989, 7.758
3417.190, 72.991, 8.630
3620.387, 72.992, 9.532
3835.666, 72.993, 10.442
4063.747, 72.993, 11.332
4305.390, 72.992, 12.168
4561.401, 72.992, 12.908
4832.637, 72.992, 13.507
5120.000, 72.992, 13.919
5424.451, 72.993, 14.106
5747.006, 72.993, 14.048
6088.740, 72.993, 13.753
6450.796, 72.992, 13.259
6834.380, 72.992, 12.638
7240.773, 72.992, 11.990
7671.332, 72.992, 11.431
8127.493, 72.992, 11.063
8610.779, 72.991, 10.944
9122.803, 72.991, 11.045
9665.273, 72.990, 11.233
10240.000, 72.990, 11.253
10848.902, 72.989, 10.760
11494.012, 72.988, 9.360
12177.480, 72.986, 6.700
12901.592, 72.983, 2.535
13668.760, 72.977, -3.255
14481.547, 72.970, -10.739
15342.664, 72.958, -20.062
16254.986, 72.942, -31.448
17221.559, 72.922, -44.797
18245.605, 72.900, -58.825
19330.547, 72.883, -70.411
